,VI,IV,II,I,vi,ii,V,iii,III,v,#II
III,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.0,0.36538461538461536,0.07692307692307693,0.19230769230769232,0.057692307692307696,0.057692307692307696,0.23076923076923078,0.019230769230769232,0.0,0.0,0.0
II,0.08823529411764706,0.029411764705882353,0.08823529411764706,0.14705882352941177,0.029411764705882353,0.0,0.14705882352941177,0.08823529411764706,0.20588235294117646,0.058823529411764705,0.11764705882352941
I,0.0,0.1414141414141414,0.06060606060606061,0.3333333333333333,0.030303030303030304,0.13131313131313133,0.20202020202020202,0.030303030303030304,0.0,0.0707070707070707,0.0
vi,0.0,0.1111111111111111,0.037037037037037035,0.37037037037037035,0.037037037037037035,0.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0
iii,0.23333333333333334,0.3,0.06666666666666667,0.0,0.3333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0
ii,0.045454545454545456,0.09090909090909091,0.0,0.2727272727272727,0.09090909090909091,0.045454545454545456,0.18181818181818182,0.0,0.0,0.2727272727272727,0.0
IV,0.0,0.017241379310344827,0.08620689655172414,0.29310344827586204,0.05172413793103448,0.017241379310344827,0.3275862068965517,0.1724137931034483,0.0,0.0,0.034482758620689655
v,0.14285714285714285,0.09523809523809523,0.0,0.7142857142857143,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0
VI,0.26666666666666666,0.0,0.3333333333333333,0.06666666666666667,0.0,0.26666666666666666,0.0,0.0,0.06666666666666667,0.0,0.0
#II,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
